category_1,category_2,category_3,title,product_rating,selling_price,seller_rating,description
4,48,18,"[4448, 4676, 15092, 343, 849, 1032, 3886, 7669, 2943, 2083, 41, 5, 74]",4.3,399,4.7,"[2158, 156, 2, 2978, 10460, 5, 1890, 3299, 4676, 1032, 3299, 17, 752, 60, 1, 1160, 3, 182, 832, 2978, 296, 93, 17334, 7, 4676, 2999, 12835, 10, 124, 102, 2461, 1226, 13, 296, 9, 138, 102, 7919, 1226, 17335, 230, 7, 4448, 1890, 2999, 1, 102, 5622, 1226, 845, 230, 2, 1844, 5, 36, 1982, 2999, 2, 804, 5, 1313, 3, 1890, 2999, 2978, 296, 1, 885, 3, 2068, 440, 54, 362, 230, 36, 1982, 1032, 2999, 82, 2, 4448, 4676, 769, 2, 198, 1748, 709, 496, 4, 1262, 2205]"
4,48,18,"[4448, 11621, 15093, 1588, 131, 4677, 1804, 5947, 41, 5, 20, 3247, 225]",4.0,499,4.8,"[151, 436, 348, 9072, 340, 3, 183, 6, 13, 238, 2222, 2645, 60, 4, 17336, 10, 2, 162, 478, 12836, 63, 17337, 2, 2645, 35, 7, 478, 12836, 63, 3115, 16, 997, 12, 3067, 48, 2, 12837, 2999, 6, 1331, 490, 109, 4, 17338, 2, 112, 43, 5, 13, 2645, 82, 11, 109, 4, 1627, 10, 2, 4339, 466, 18, 797, 4, 2, 814, 5, 17339, 12838, 2, 287, 43, 98, 12, 2108, 2, 2645, 4, 557, 7997, 1321, 17340, 2, 2645, 9, 60, 6, 36, 1321, 605, 10, 1983, 576, 16, 72, 11, 53, 4, 2758]"
4,48,18,"[1991, 39, 721, 8538, 234, 4954, 1804, 2645, 52, 871, 11622, 41, 5, 20, 1067, 225]",4.1,949,4.4,"[1834, 42, 4, 7, 130, 162, 5, 1804, 1991, 8538, 4677, 1804, 2645, 35, 2, 109, 2645, 71, 228, 11, 2, 146, 496, 4, 595, 466, 499, 1627, 2, 302, 287, 2645, 98, 3, 820, 8, 296, 2, 4954, 56, 1, 937, 4954, 3115, 72, 11, 380, 86, 207, 1, 937, 1, 301, 12839, 12840, 11, 123, 12841, 214, 12842, 605, 158, 240, 849, 1101, 2108, 92, 1, 408, 415, 3685, 334, 11, 35, 36, 7282, 605, 4, 36, 2965, 1058, 1835, 1, 3189, 3606, 5, 979, 1783, 5236, 216, 1991, 1991, 9, 7, 443, 1, 263, 321, 19, 2, 316, 5, 721, 16, 648, 932, 21, 145, 21, 4092, 11, 2102, 4, 2, 3819, 5, 7, 533, 263, 3545, 445, 3, 1524, 7, 166, 1, 210, 129, 4576, 3, 25, 1447, 834, 2, 1956, 2, 321, 9, 25, 216, 7, 5392, 4, 129, 1, 353]"
4,48,18,"[3248, 5948, 5949, 1033, 8539, 640, 149, 4677, 1804, 5947, 41, 5, 26, 3735, 225]",4.0,749,4.7,"[3248, 7998, 25, 58, 75, 1921, 5949, 8539, 769, 9, 2, 75, 496, 4, 1911, 348, 4577, 295, 1250, 99, 1, 1692, 2, 9073, 99, 605, 98, 1116, 289, 770, 1, 181, 12, 221, 99, 3, 5547, 171, 12, 17, 138, 1176, 3116, 472, 13, 9, 8, 299, 3, 3736, 9073, 750, 3115, 13, 238, 68, 92, 73, 9, 7, 980, 5, 483, 1, 12843, 16, 301, 2, 3736, 3, 67, 295, 1250, 99, 1, 739, 1692, 48, 2, 577, 58]"
4,48,18,"[4678, 5237, 119, 3886, 7669, 739, 3734, 41, 5, 49]",3.7,99,4.9,"[2, 4678, 2999, 35, 291, 752, 266, 3, 729, 456, 2978, 296, 1205, 11, 9071, 2, 2645, 11, 35, 291, 60, 3, 1095, 12, 3, 1126, 48, 7, 784, 5, 2157, 763, 2943, 252, 1, 739, 2653, 748, 12, 17, 156, 11, 4, 694, 1262, 18, 4, 7, 4336, 162, 13, 4678, 2999, 4141, 3298, 1, 6165, 244, 2, 1804, 1754, 2, 565, 826, 544, 5, 2, 2999, 82, 11, 27, 3, 1835, 1, 5391, 1, 205, 12, 636, 1151, 114, 15, 7, 2976]"
4,48,18,"[9858, 443, 555, 1804, 204, 44, 6, 26, 11623, 32, 1890, 11624, 1, 1319, 1804, 261]",3.9,499,4.4,"[1804, 2645, 204, 44, 5, 26, 11623, 32, 3299, 6, 122, 1319, 33, 23, 125, 19, 9858, 13, 1804, 2645, 82, 7, 130, 932, 3, 24, 88, 797, 1804, 11, 9, 68, 10, 92, 1, 14, 22, 66, 3, 2108, 6, 130, 1076, 1, 240, 13, 857, 1, 321, 107, 1890, 3299, 4, 883, 1262, 86, 6, 113, 23, 5238, 82, 11, 59, 215, 13, 86, 1, 25, 1606, 239, 3299, 4, 2758, 1262, 2205, 7999, 3380, 18, 165, 21, 7, 110, 15, 2625, 4, 361, 1, 679, 9858, 1804, 261, 122, 9, 30, 5, 86, 73, 16, 5078, 481, 355, 6, 233, 11, 35, 69, 1363, 1705, 3, 104, 224, 8, 12844, 3299, 90, 352, 6, 36, 1123, 221, 389, 4, 220, 1143, 84, 728, 2, 1804, 122, 123, 7, 303, 2219, 1379, 3, 179, 158, 3, 8, 2810, 13, 1319, 9, 27, 3, 1580, 10, 7, 1278, 17341, 5079, 374, 10, 25, 73, 17342, 17343, 25, 1032, 1319, 9, 30, 42, 5, 1032, 28, 9, 207, 1, 937, 1, 35, 449, 3416, 770, 1, 3546, 12845, 1, 8000, 71, 534, 71]"
4,48,18,"[4678, 498, 119, 3886, 9859, 739, 3734, 41, 5, 111]",3.7,135,4.9,"[2, 4678, 2999, 35, 291, 752, 266, 3, 729, 456, 2978, 296, 1205, 11, 9071, 2, 2645, 11, 35, 291, 60, 3, 1095, 12, 3, 1126, 48, 7, 784, 5, 2157, 763, 2943, 252, 1, 739, 2653, 748, 12, 17, 156, 11, 4, 694, 1262, 18, 4, 7, 4336, 162, 13, 4678, 2999, 4141, 3298, 1, 6165, 244, 2, 1804, 1754, 2, 565, 826, 544, 5, 2, 2999, 82, 11, 27, 3, 1835, 1, 5391, 1, 205, 12, 636, 1151, 114, 15, 7, 2976]"
4,48,18,"[4678, 1406, 15094, 1890, 3886, 5238, 4, 558, 317, 1804, 443, 1890, 3886, 11625, 739, 3734, 41, 5, 111]",3.9,215,4.9,"[60, 4, 694, 24, 2, 4678, 3886, 354, 33, 362, 1, 3, 72, 8, 2758, 7283, 7, 2999, 9, 30, 5, 884, 9074, 9075, 1, 2656, 998, 6, 7, 3189, 1, 8001, 134, 7, 1481, 529, 5238, 413, 2, 9076, 1, 304, 5, 64, 3299, 17, 739, 2943, 28, 9, 1938, 4, 1262, 1, 883, 814, 10, 69, 91, 12, 14, 816, 111, 3299, 64, 3299, 67, 1406, 9074, 28, 82, 2999, 412, 1, 1755, 2, 3417, 5, 11, 6, 64, 3299, 12, 14, 7993, 10, 8, 867, 1, 4051, 2, 4142, 6, 490]"
4,48,18,"[3248, 5948, 225, 2125, 6978, 6979, 149, 826, 4677, 1804, 5947, 41, 5, 20, 2437, 225]",4.2,1899,4.7,"[2, 3248, 5948, 225, 2125, 6978, 6979, 1804, 3736, 9, 2824, 60, 4, 1627, 348, 17, 536, 4, 252, 6659, 440, 1, 295, 10461, 183, 2, 3736, 30, 39, 2974, 302, 1667, 4954, 11, 9, 7, 207, 73, 6, 481, 1, 10462, 103, 3, 671, 605, 5737, 1, 703, 54, 832, 7284, 1827, 7285, 3115, 3248, 7998, 202, 7285, 3115, 940, 6, 1090, 564, 214, 1939, 6, 724, 864, 8002, 19, 10463, 1262, 3547, 10464, 296, 346, 1984, 3117, 2, 3736, 3115, 6, 8692, 8003, 1827, 9, 6166, 16, 5393, 765, 5547, 296]"
4,48,18,"[1991, 39, 721, 11626, 204, 6, 143, 131, 4677, 1804, 5947, 41, 5, 26, 11627, 225]",3.8,519,4.4,"[1834, 42, 4, 7, 130, 162, 5, 1804, 2, 1991, 11626, 41, 5, 309, 4677, 1804, 2645, 35, 2, 109, 2645, 71, 228, 11, 2, 146, 496, 4, 1911, 1, 98, 10, 3300, 12846, 2, 287, 2645, 98, 3, 820, 8, 296, 2, 483, 56, 1, 63, 3115, 72, 11, 380, 86, 207, 1, 937, 28, 194, 16, 12, 72, 557, 7041, 2, 6144, 605, 1101, 2108, 92, 1, 408, 415, 3685, 334, 103, 3, 1883, 1368, 1688, 4142, 11, 35, 7, 6660, 1058, 1835, 1, 3189, 3606, 5, 597, 363, 5236, 216, 1991, 1991, 9, 7, 443, 1, 263, 321, 19, 2, 316, 5, 721, 16, 648, 932, 21, 145, 21, 4092, 11, 2102, 4, 2, 3819, 5, 7, 533, 263, 3545, 445, 3, 1524, 7, 166, 1, 210, 129, 4576, 3, 25, 1447, 834, 2, 1956, 2, 321, 9, 25, 216, 7, 5392, 4, 129, 1, 353]"
